name,id,region_id
Кремінський районний суд Луганської області,356,12
Ленінський районний суд м. Луганська,357,12
Лисичанський міський суд Луганської області,358,12
Луганський апеляційний господарський суд,359,12
Луганський окружний адміністративний суд,360,12
Лутугинський районний суд Луганської області,361,12
Марківський районний суд Луганської області,362,12
Міловський районний суд Луганської області,363,12
Новоайдарський районний суд Луганської області,364,12
Новопсковський районний суд Луганської області,365,12
Первомайський міський суд Луганської області,366,12
Перевальський районний суд Луганської області,367,12
Попаснянський районний суд Луганської області,368,12
Ровеньківський міський суд Луганської області,369,12
Рубіжанський міський суд Луганської області,370,12
Сватівський районний суд Луганської області,371,12
Свердловський міський суд Луганської області,372,12
Сєвєродонецький міський суд Луганської області,373,12
Слов’яносербський районний суд Луганської області,374,12
Станично-Луганський районний суд Луганської області,375,12
Старобільський районний суд Луганської області,376,12
Стахановський міський суд Луганської області,377,12
Троїцький районний суд Луганської області,378,12
Апеляційний суд Львівської області,379,13
Бориславський міський суд Львівської області,380,13
Бродівський районний суд Львівської області,381,13
Буський районний суд Львівської області,382,13
Галицький районний суд м.Львова,383,13
Городоцький районний суд Львівської області,384,13
Господарський суд Львівської області,385,13
Дрогобицький міськрайонний суд Львівської області,386,13
Жидачівський районний суд Львівської області,387,13
Жовківський районний суд Львівської області,388,13
Залізничний районний суд м.Львова,389,13
Золочівський районний суд Львівської області,390,13
Кам'янка-Бузький районний суд Львівської області,391,13
Личаківський районний суд м.Львова,392,13
Львівський апеляційний адміністративний суд,393,13
Львівський апеляційний господарський суд,394,13
Львівський окружний адміністративний суд,395,13
Миколаївський районний суд Львівської області,396,13
Мостиський районний суд Львівської області,397,13
Перемишлянський районний суд Львівської області,398,13
Пустомитівський районний суд Львівської області,399,13
Радехівський районний суд Львівської області,400,13
Самбірський міськрайонний суд Львівської області,401,13
Сихівський районний суд м.Львова,402,13
Сколівський районний суд Львівської області,403,13
Сокальський районний суд Львівської області,404,13
Старосамбірський районний суд Львівської області,405,13
Стрийський міськрайонний суд Львівської області,406,13
Трускавецький міський суд Львівської області,407,13
Турківський районний суд Львівської області,408,13
Франківський районний суд м.Львова,409,13
Червоноградський міський суд Львівської області,410,13
Шевченківський районний суд м.Львова,411,13
Яворівський районний суд Львівської області,412,13
Апеляційний суд Миколаївської області,413,14
Арбузинський районний суд Миколаївської області,414,14
Баштанський районний суд Миколаївської області,415,14
Березанський районний суд Миколаївської області,416,14
Березнегуватський районний суд Миколаївської області,417,14
Братський районний суд Миколаївської області,418,14
Веселинівський районний суд Миколаївської області,419,14
Вознесенський міськрайонний суд Миколаївської області,420,14
Врадіївський районний суд Миколаївської області,421,14
Господарський суд Миколаївської області,422,14
Доманівський районний суд Миколаївської області,423,14
Єланецький районний суд Миколаївської області,424,14
Жовтневий районний суд Миколаївської області,425,14
Заводський районний суд м. Миколаєва,426,14
Казанківський районний суд Миколаївської області,427,14
Корабельний районний суд м. Миколаєва,428,14
Кривоозерський районний суд Миколаївської області,429,14
Ленінський районний суд м. Миколаєва,430,14
Миколаївський окружний адміністративний суд,431,14
Миколаївський районний суд Миколаївської області,432,14
Новобузький районний суд Миколаївської області,433,14
Новоодеський районний суд Миколаївської області,434,14
Очаківський міськрайонний суд Миколаївської області,435,14
Первомайський міськрайонний суд Миколаївської області,436,14
Снігурівський районний суд Миколаївської області,437,14
Центральний районний суд м. Миколаєва,438,14
Южноукраїнський міський суд Миколаївської області,439,14
Ананьївський районний суд Одеської області,440,15
Апеляційний суд Одеської області,441,15
Арцизький районний суд Одеської області,442,15
Балтський районний суд Одеської області,443,15
Березівський районний суд Одеської області,444,15
Білгород-Дністровський міськрайонний суд Одеської області,445,15
Біляївський районний суд Одеської області,446,15
Болградський районний суд Одеської області,447,15
Великомихайлівський районний суд Одеської області,448,15
Господарський суд Одеської області,449,15
Іванівський районний суд Одеської області,450,15
Ізмаїльський міськрайонний суд Одеської області,451,15
Іллічівський міський суд Одеської області,452,15
Київський районний суд м. Одеси,453,15
Кілійський районний суд Одеської області,454,15
Кодимський районний суд Одеської області,455,15
Комінтернівський районний суд Одеської області,456,15
Котовський міськрайонний суд Одеської області,457,15
Красноокнянський районний суд Одеської області,458,15
Любашівський районний суд Одеської області,459,15
Малиновський районний суд м.Одеси,460,15
Миколаївський районний суд Одеської області,461,15
Овідіопольський районний суд Одеської області,462,15
Одеський апеляційний адміністративний суд,463,15
Одеський апеляційний господарський суд,464,15
Одеський окружний адміністративний суд,465,15
Приморський районний суд м.Одеси,466,15
Ренійський районний суд Одеської області,467,15
Роздільнянський районний суд Одеської області,468,15
Савранський районний суд Одеської області,469,15
Саратський районний суд Одеської області,470,15
Суворовський районний суд м.Одеси,471,15
